alfa_skill,status,severity,referenced_by_count,referenced_by,disposition,beta_home,rationale
ai-workflow-automation,dod-complete,P1,3,agents/ai-workflow-automation-specialist.md;commands/ai-workflow-automation.md;prompts/ai/15-ai-workflow-automation.md,,,
alerting-strategy,dod-complete,P1,3,agents/alerting-strategy-specialist.md;commands/alerting-strategy.md;prompts/devops/3-alerting-strategy.md,,,
alfa-repo-maintenance-orchestrator,dod-complete,P1,0,,,,
analytics-engineering,dod-complete,P1,0,,,,
analytics-events,dod-complete,P1,3,agents/analytics-events-specialist.md;commands/analytics-events.md;prompts/analytics/7-analytics-events.md,,,
analytics-implementation,dod-complete,P1,0,,,,
angular-development,pending,,1,agents/angular-specialist.md,,,
angular-module-builder,pending,,0,,,,
animation-motion,pending,,0,,,,
animation-principles,pending,,3,agents/animation-principles-specialist.md;commands/animation-principles.md;prompts/ux/4-animation-principles.md,,,
api-architecture,pending,,0,,,,
api-design,pending,,2,agents/api-designer.md;agents/solutions-architect.md,,,
api-designer,pending,,1,agents/api-designer.md,,,
api-documentation,pending,,1,prompts/quality/95-api-documentation.md,,,
api-security,pending,,0,,,,
architecture-tobe,pending,,0,,,,
asis-analysis,pending,,0,,,,
assembly-skill,dod-complete,P1,0,,,,
assumption-log,dod-complete,P1,0,,,,
audit-content-quality,dod-complete,P1,0,,,,
audit-security,dod-complete,P1,10,commands/audit-deps.md;commands/audit-security.md;commands/create-auth.md;commands/create-payment.md;commands/create-upload.md;commands/design-auth.md;commands/review.md;commands/risks.md;commands/setup-ssl.md;prompts/quality/75-audit-security.md,,,
audit-trail-design,pending,,3,agents/audit-trail-design-specialist.md;commands/audit-trail-design.md;prompts/enterprise/2-audit-trail-design.md,,,
auth-architecture,pending,,3,agents/auth-architect.md;agents/firebase-auth-expert.md;agents/security-architect.md,,,
auto-prompt-matching,dod-complete,P1,1,agents/adk-orchestrator.md,,,
aws-architecture-audit,pending,,0,,,,
aws-architecture-design,pending,,0,,,,
aws-architecture-implementation,pending,,0,,,,
b2b-outreach,pending,,3,agents/b2b-outreach-specialist.md;commands/b2b-outreach.md;prompts/business/3-b2b-outreach.md,,,
background-jobs,pending,,0,,,,
backup-recovery,pending,,0,,,,
backup-strategy,pending,,3,agents/backup-strategy-specialist.md;commands/backup-strategy.md;prompts/devops/12-backup-strategy.md,,,
bdd-full-spectrum,pending,,2,agents/bdd-strategist.md;agents/quality-guardian.md,,,
benchmark-skill,dod-complete,P1,0,,,,
benchmarking-analysis,pending,,3,agents/benchmarking-analysis-specialist.md;commands/benchmarking-analysis.md;prompts/analytics/14-benchmarking-analysis.md,,,
bi-architecture,pending,,0,,,,
bilingual-doc,pending,,0,,,,
blog-cms,pending,,1,agents/blog-builder.md,,,
bmad-method,dod-complete,P1,0,,,,
brand-docx,dod-complete,P1,0,,,,
brand-html,dod-complete,P1,1,commands/brand-html.md,,,
brand-voice,pending,,0,,,,
brand-xlsx,dod-complete,P1,0,,,,
branded-html-output,pending,,1,agents/brand-html-crafter.md,,,
budget-management,pending,,3,agents/budget-management-specialist.md;commands/budget-management.md;prompts/enterprise/16-budget-management.md,,,
build-moat-assets,pending,,0,,,,
build-optimization,pending,,3,agents/bundle-analyzer.md;agents/performance-architect.md;agents/performance-tester.md,,,
build-plugin-scaffold,pending,,0,,,,
bundle-analysis,pending,,0,,,,
business-process-modeling,pending,,1,agents/business-analyst.md,,,
caching-strategy,pending,,1,agents/caching-strategist.md,,,
capacity-planning,pending,,3,agents/capacity-planning-specialist.md;commands/capacity-planning.md;prompts/enterprise/9-capacity-planning.md,,,
case-study-writing,pending,,3,agents/case-study-writing-specialist.md;commands/case-study-writing.md;prompts/content/5-case-study-writing.md,,,
cdn-configuration,pending,,3,agents/cdn-configuration-specialist.md;commands/cdn-configuration.md;prompts/devops/9-cdn-configuration.md,,,
certify-skill,dod-complete,P1,0,,,,
change-management-enterprise,pending,,3,agents/change-management-enterprise-specialist.md;commands/change-management-enterprise.md;prompts/enterprise/6-change-management-enterprise.md,,,
change-readiness,pending,,1,agents/change-catalyst.md,,,
changelog-management,dod-complete,P1,0,,,,
changelog-writing,pending,,3,agents/changelog-writing-specialist.md;commands/changelog-writing.md;prompts/content/12-changelog-writing.md,,,
chatbot-design,pending,,3,agents/chatbot-design-specialist.md;commands/chatbot-design.md;prompts/ai/10-chatbot-design.md,,,
ci-cd-pipeline,pending,,0,,,,
ci-pipeline-design,pending,,3,agents/ci-pipeline-design-specialist.md;commands/ci-pipeline-design.md;prompts/devops/16-ci-pipeline-design.md,,,
cierre-conversacion,dod-complete,P1,1,agents/jarvis-orchestrator.md,,,
claude-md-architecture,dod-complete,P1,0,,,,
client-browser-audit,pending,,0,,,,
client-dossier,pending,,1,agents/dossier-builder.md,,,
client-prospecting,pending,,1,agents/client-prospector.md,,,
cloud-functions,pending,,2,agents/cloud-functions-dev.md;agents/event-designer.md,,,
cloud-migration,pending,,0,,,,
cloud-native-architecture,pending,,0,,,,
code-review,dod-complete,P1,1,agents/code-reviewer.md,,,
code-review-checklist,dod-complete,P1,0,,,,
cohort-analysis,pending,,3,agents/cohort-analysis-specialist.md;commands/cohort-analysis.md;prompts/analytics/8-cohort-analysis.md,,,
color-theory,pending,,3,agents/color-theory-specialist.md;commands/color-theory.md;prompts/ux/6-color-theory.md,,,
commercial-model,pending,,0,,,,
competitive-intelligence,pending,,1,agents/competitive-analyst.md,,,
competitive-positioning,pending,,3,agents/competitive-positioning-specialist.md;commands/competitive-positioning.md;prompts/business/14-competitive-positioning.md,,,
competitor-teardown,pending,,0,,,,
compliance-assessment,pending,,3,agents/compliance-checker.md;agents/evidence-auditor.md;agents/integrity-validator.md,,,
compliance-framework,pending,,3,agents/compliance-framework-specialist.md;commands/compliance-framework.md;prompts/enterprise/1-compliance-framework.md,,,
component-architecture,pending,,1,agents/component-designer.md,,,
component-designer,pending,,1,agents/component-designer.md,,,
constitution-compliance,dod-complete,P1,1,agents/adk-orchestrator.md,,,
contact-database,pending,,0,,,,
content-calendar,pending,,3,agents/content-calendar-specialist.md;commands/content-calendar.md;prompts/business/12-content-calendar.md,,,
context-optimization,dod-complete,P1,3,agents/adk-orchestrator.md;agents/context-manager.md;agents/skill-router.md,,,
context-optimizer,dod-complete,P1,0,,,,
context-window-engineering,dod-complete,P1,0,,,,
context-window-management,dod-complete,P1,3,agents/context-window-management-specialist.md;commands/context-window-management.md;prompts/ai/13-context-window-management.md,,,
continuous-learning,dod-complete,P1,2,agents/adk-orchestrator.md;agents/quality-guardian.md,,,
contract-review,pending,,3,agents/contract-review-specialist.md;commands/contract-review.md;prompts/enterprise/11-contract-review.md,,,
conversion-optimization,pending,,3,agents/conversion-optimization-specialist.md;commands/conversion-optimization.md;prompts/business/2-conversion-optimization.md,,,
copywriting,pending,,0,,,,
copywriting-frameworks,pending,,3,agents/copywriting-frameworks-specialist.md;commands/copywriting-frameworks.md;prompts/business/5-copywriting-frameworks.md,,,
cors-configuration,pending,,3,agents/cors-configuration-specialist.md;commands/cors-configuration.md;prompts/devops/14-cors-configuration.md,,,
cost-estimation,pending,,2,agents/cost-estimator.md;agents/pitch-crafter.md,,,
create-antigravity-skill,pending,,0,,,,
creator-moat-skill,pending,,0,,,,
cross-browser-testing,pending,,1,agents/cross-browser-tester.md,,,
cross-platform-convert,pending,,0,,,,
css-animation,pending,,2,agents/animation-specialist.md;agents/portfolio-builder.md,,,
css-architecture,pending,,3,agents/css-architect.md;agents/design-system-architect.md;agents/frontend-craftsman.md,,,
custom-tooling-extension,dod-complete,P1,0,,,,
cv-cover-optimizer,dod-complete,P1,0,,,,
cv-enhancement,pending,,1,agents/cv-specialist.md,,,
cv-transformer,pending,,0,,,,
daily-close,not-in-ledger,,0,,,,
dark-mode,pending,,3,agents/brand-html-crafter.md;agents/css-architect.md;commands/evolve.md,,,
dashboard-design,pending,,3,agents/dashboard-design-specialist.md;commands/dashboard-design.md;prompts/analytics/2-dashboard-design.md,,,
data-documentation,pending,,3,agents/data-documentation-specialist.md;commands/data-documentation.md;prompts/analytics/15-data-documentation.md,,,
data-engineering,pending,,0,,,,
data-export,pending,,3,agents/data-export-specialist.md;commands/data-export.md;prompts/analytics/11-data-export.md,,,
data-flow-architecture,pending,,0,,,,
data-governance,pending,,0,,,,
data-migration,pending,,0,,,,
data-privacy-patterns,pending,,3,agents/data-privacy-patterns-specialist.md;commands/data-privacy-patterns.md;prompts/analytics/10-data-privacy-patterns.md,,,
data-quality,pending,,0,,,,
data-science-architecture,pending,,0,,,,
data-storytelling,pending,,0,,,,
data-strategy,pending,,1,agents/data-strategist.md,,,
data-validation,pending,,3,agents/data-validation-specialist.md;commands/data-validation.md;prompts/analytics/3-data-validation.md,,,
data-visualization,pending,,2,agents/chart-specialist.md;agents/dashboard-builder.md,,,
database-architecture,pending,,0,,,,
database-design,pending,,2,agents/data-modeler.md;agents/database-architect.md,,,
dbr-daily-plan,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
dependency-analysis,pending,,0,,,,
dependency-management,pending,,3,agents/dependency-management-specialist.md;commands/dependency-management.md;prompts/devops/8-dependency-management.md,,,
deployment-checklist,pending,,1,agents/pipeline-conductor.md,,,
design-agent,dod-complete,P1,0,,,,
design-critique,pending,,3,agents/design-critique-specialist.md;commands/design-critique.md;prompts/ux/3-design-critique.md,,,
design-skill,dod-complete,P1,0,,,,
design-system,pending,,1,agents/design-system-architect.md,,,
developer-onboarding,pending,,3,agents/developer-onboarding-specialist.md;commands/developer-onboarding.md;prompts/enterprise/13-developer-onboarding.md,,,
devsecops-architecture,pending,,0,,,,
digital-presence,pending,,0,,,,
disaster-recovery,pending,,3,agents/disaster-recovery-specialist.md;commands/disaster-recovery.md;prompts/enterprise/8-disaster-recovery.md,,,
discovery-handover,pending,,0,,,,
discovery-orchestration,dod-complete,P1,2,agents/discovery-reporter.md;agents/pipeline-conductor.md,,,
discovery-orchestrator,dod-complete,P1,0,,,,
discovery-retrospective,pending,,0,,,,
dns-architecture,pending,,3,agents/dns-architecture-specialist.md;commands/dns-architecture.md;prompts/devops/11-dns-architecture.md,,,
docker-awareness,pending,,3,agents/docker-awareness-specialist.md;commands/docker-awareness.md;prompts/devops/1-docker-awareness.md,,,
documentation-standards,pending,,3,agents/documentation-standards-specialist.md;commands/documentation-standards.md;prompts/enterprise/4-documentation-standards.md,,,
documentation-system,pending,,3,agents/documentation-system-specialist.md;commands/documentation-system.md;prompts/content/11-documentation-system.md,,,
domain-dns-setup,pending,,0,,,,
domain-driven-design,pending,,1,agents/domain-modeler.md,,,
domain-management,pending,,2,agents/domain-dns-specialist.md;agents/hostinger-expert.md,,,
dual-layer-verification,pending,,2,agents/quality-guardian.md;agents/security-scanner.md,,,
dynamic-sme,pending,,0,,,,
e2e-testing,pending,,2,agents/e2e-test-writer.md;agents/quality-engineer.md,,,
ecommerce-frontend,pending,,1,agents/ecommerce-builder.md,,,
ecosystem-forge,pending,,0,,,,
email-sending,pending,,1,agents/email-service-specialist.md,,,
email-template-builder,pending,,1,agents/email-template-builder.md,,,
email-templates,pending,,1,agents/email-template-builder.md,,,
embedding-strategy,pending,,3,agents/embedding-strategy-specialist.md;commands/embedding-strategy.md;prompts/ai/5-embedding-strategy.md,,,
empty-states,pending,,3,agents/empty-states-specialist.md;commands/empty-states.md;prompts/ux/12-empty-states.md,,,
enterprise-architecture,pending,,0,,,,
environment-detection,dod-complete,P1,0,,,,
environment-management,pending,,3,agents/environment-management-specialist.md;commands/environment-management.md;prompts/devops/7-environment-management.md,,,
error-handling,pending,,0,,,,
error-handling-patterns,pending,,1,prompts/quality/87-error-handling-patterns.md,,,
error-messaging,pending,,3,agents/error-messaging-specialist.md;commands/error-messaging.md;prompts/content/13-error-messaging.md,,,
error-recovery-automation,dod-complete,P1,3,agents/error-recovery-automation-specialist.md;commands/error-recovery-automation.md;prompts/automation/13-error-recovery-automation.md,,,
etl-patterns,pending,,3,agents/etl-patterns-specialist.md;commands/etl-patterns.md;prompts/analytics/5-etl-patterns.md,,,
evaluation-confidence-design,dod-complete,P1,0,,,,
event-architecture,pending,,1,agents/event-designer.md,,,
event-marketing,pending,,3,agents/event-marketing-specialist.md;commands/event-marketing.md;prompts/business/16-event-marketing.md,,,
excellence-loop,pending,,0,,,,
executive-pitch,pending,,4,agents/copywriter.md;agents/discovery-reporter.md;agents/dossier-builder.md;agents/pitch-crafter.md,,,
executive-summary,pending,,0,,,,
feasibility-validation,pending,,1,agents/feasibility-validator.md,,,
few-shot-engineering,pending,,0,,,,
file-storage,pending,,0,,,,
file-watcher,pending,,3,agents/file-watcher-specialist.md;commands/file-watcher.md;prompts/automation/11-file-watcher.md,,,
find-skills,dod-complete,P1,0,,,,
fine-tuning-prep,pending,,3,agents/fine-tuning-prep-specialist.md;commands/fine-tuning-prep.md;prompts/ai/6-fine-tuning-prep.md,,,
finops,pending,,0,,,,
firebase-architecture,pending,,0,,,,
firebase-auth,pending,,3,agents/auth-architect.md;agents/firebase-auth-expert.md;agents/firebase-specialist.md,,,
firebase-auth-setup,pending,,0,,,,
firebase-cost-optimization,pending,,0,,,,
firebase-deployment,pending,,2,agents/deployment-specialist.md;agents/firebase-deployer.md,,,
firebase-emulator-setup,pending,,0,,,,
firebase-extensions,pending,,0,,,,
firebase-functions,pending,,0,,,,
firebase-hosting,pending,,1,agents/firebase-hosting-expert.md,,,
firebase-hosting-setup,pending,,0,,,,
firebase-setup,pending,,2,agents/firebase-emulator-expert.md;agents/firebase-specialist.md,,,
firebase-storage,pending,,1,agents/firebase-storage-expert.md,,,
firestore-modeling,pending,,4,agents/data-modeler.md;agents/database-architect.md;agents/firebase-specialist.md;agents/firestore-expert.md,,,
firestore-queries,pending,,1,agents/firestore-expert.md,,,
firestore-schema-design,pending,,0,,,,
firestore-security-rules,pending,,1,agents/firestore-expert.md,,,
first-use-onboarding,pending,,1,commands/first-use.md,,,
fix-common-issues,pending,,0,,,,
flow-mapping,pending,,2,agents/domain-modeler.md;agents/flow-mapper.md,,,
folio-generator,dod-complete,P1,0,,,,
follow-up-email,dod-complete,P1,0,,,,
font-optimization,dod-complete,P1,0,,,,
form-builder,dod-complete,P1,0,,,,
form-engineering,dod-complete,P1,1,agents/form-specialist.md,,,
form-ux-advanced,dod-complete,P1,3,agents/form-ux-advanced-specialist.md;commands/form-ux-advanced.md;prompts/ux/11-form-ux-advanced.md,,,
frontload-prompt,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
functional-spec,dod-complete,P1,0,,,,
functional-toolbelt,dod-complete,P1,0,,,,
funnel-analytics,dod-complete,P1,3,agents/funnel-analytics-specialist.md;commands/funnel-analytics.md;prompts/analytics/9-funnel-analytics.md,,,
funnel-design,pending,,3,agents/funnel-design-specialist.md;commands/funnel-design.md;prompts/business/6-funnel-design.md,,,
genai-architecture,pending,,0,,,,
generate-qa-report,dod-complete,P1,0,,,,
generate-qa-scorecard,dod-complete,P1,0,,,,
git-hook-integration,pending,,3,agents/git-hook-integration-specialist.md;commands/git-hook-integration.md;prompts/automation/12-git-hook-integration.md,,,
git-workflow,dod-complete,P1,0,,,,
github-actions-ci,dod-complete,P1,2,agents/ci-cd-configurator.md;agents/deployment-specialist.md,,,
gmail-mcp,pending,,0,,,,
google-analytics,pending,,1,agents/google-apis-specialist.md,,,
google-apis-integration,pending,,0,,,,
google-calendar-mcp,pending,,0,,,,
google-docs-mcp,pending,,0,,,,
google-drive-mcp,pending,,0,,,,
google-maps-integration,pending,,1,agents/map-specialist.md,,,
google-sheets-mcp,pending,,0,,,,
google-slides-mcp,pending,,0,,,,
google-workspace-apis,pending,,1,agents/google-apis-specialist.md,,,
governance-framework,pending,,0,,,,
gratitud-post-proceso,dod-complete,P1,0,,,,
grid-systems,pending,,3,agents/grid-systems-specialist.md;commands/grid-systems.md;prompts/ux/9-grid-systems.md,,,
guardrails-management,dod-complete,P1,0,,,,
health-check-automation,dod-complete,P1,3,agents/health-check-automation-specialist.md;commands/health-check-automation.md;prompts/automation/16-health-check-automation.md,,,
hook-creator,pending,,0,,,,
hook-engineering,pending,,0,,,,
hostinger-deployment,pending,,3,agents/deployment-specialist.md;agents/hostinger-expert.md;agents/infrastructure-planner.md,,,
html-brand,pending,,0,,,,
html-semantic,pending,,3,agents/frontend-craftsman.md;agents/html-specialist.md;agents/vanilla-js-specialist.md,,,
html-semantic-builder,pending,,0,,,,
http-headers,pending,,3,agents/http-headers-specialist.md;commands/http-headers.md;prompts/devops/15-http-headers.md,,,
human-escalation-design,pending,,0,,,,
iconography,pending,,3,agents/iconography-specialist.md;commands/iconography.md;prompts/ux/7-iconography.md,,,
ideate-component,dod-complete,P1,0,,,,
ideate-plugin,pending,,0,,,,
iic-artifact-analyzer,pending,,0,,,,
iic-bugfix,pending,,0,,,,
iic-checklist-generator,pending,,0,,,,
iic-clarify,pending,,0,,,,
iic-constitution,pending,,0,,,,
iic-core-engine,pending,,0,,,,
iic-implement,pending,,0,,,,
iic-plan-generator,pending,,0,,,,
iic-specify,pending,,0,,,,
iic-task-decomposer,pending,,0,,,,
iic-tasks-to-issues,pending,,0,,,,
iic-testify,pending,,0,,,,
iikit-00-constitution,pending,,0,,,,
iikit-01-specify,pending,,0,,,,
iikit-02-plan,pending,,0,,,,
iikit-03-checklist,pending,,0,,,,
iikit-04-testify,pending,,0,,,,
iikit-05-tasks,pending,,0,,,,
iikit-06-analyze,pending,,0,,,,
iikit-07-implement,pending,,0,,,,
iikit-08-taskstoissues,pending,,0,,,,
iikit-bugfix,pending,,0,,,,
iikit-clarify,pending,,0,,,,
iikit-core,pending,,0,,,,
image-optimization,pending,,0,,,,
incident-response,pending,,3,agents/incident-response-specialist.md;commands/incident-response.md;prompts/devops/5-incident-response.md,,,
independent-review-design,pending,,0,,,,
indexability-validator,pending,,1,agents/quality-guardian.md,,,
infrastructure-architecture,pending,,0,,,,
infrastructure-design,pending,,1,agents/infrastructure-planner.md,,,
input-analysis,dod-complete,P1,3,agents/input-amplifier.md;agents/jarvis-orchestrator.md;agents/requirements-analyst.md,,,
input-analyst,dod-complete,P1,0,,,,
input-sanitization,pending,,1,agents/security-scanner.md,,,
input-tolerance,pending,,1,agents/adk-orchestrator.md,,,
integration-architecture,pending,,0,,,,
integration-testing,pending,,0,,,,
integrity-chain-validation,pending,,2,agents/integrity-validator.md;agents/quality-guardian.md,,,
intelligent-routing,pending,,1,agents/adk-orchestrator.md,,,
internal-memo,pending,,3,agents/internal-memo-specialist.md;commands/internal-memo.md;prompts/content/8-internal-memo.md,,,
internationalization,pending,,3,agents/i18n-specialist.md;commands/add-i18n.md;prompts/development/62-implement-i18n.md,,,
interview-prep,pending,,0,,,,
inventory-management,pending,,0,,,,
invoice-generator,pending,,0,,,,
jarvis-bootstrap,not-in-ledger,,0,,,,
jarvis-os,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
javascript-patterns,pending,,0,,,,
jmlabs-corporate-doc,pending,,0,,,,
katas-adaptive-investigation,dod-complete,P1,0,,,,
katas-builtin-tool-selection,dod-complete,P1,0,,,,
katas-confidence-stratified-sampling,dod-complete,P1,0,,,,
katas-context-dilution-mitigation,dod-complete,P1,0,,,,
katas-critical-self-correction,pending,,0,,,,
katas-custom-commands-skills,pending,,0,,,,
katas-defensive-structured-extraction,pending,,0,,,,
katas-deterministic-agent-loop,pending,,0,,,,
katas-false-positive-criteria,pending,,0,,,,
katas-fewshot-edge-calibration,pending,,0,,,,
katas-headless-code-review,pending,,0,,,,
katas-hierarchical-claude-memory,pending,,0,,,,
katas-hub-and-spoke-isolation,pending,,0,,,,
katas-human-handoff-protocol,pending,,0,,,,
katas-independent-reviewer-multipass,pending,,0,,,,
katas-mcp-server-configuration,pending,,0,,,,
katas-mcp-structured-errors,pending,,0,,,,
katas-message-batch-processing,pending,,0,,,,
katas-multiagent-error-propagation,pending,,0,,,,
katas-multipass-prompt-chaining,pending,,0,,,,
katas-path-conditional-rules,pending,,0,,,,
katas-persistent-scratchpad,dod-complete,P1,0,,,,
katas-plan-mode-exploration,pending,,0,,,,
katas-posttooluse-normalization,dod-complete,P1,0,,,,
katas-prefix-caching,pending,,0,,,,
katas-pretooluse-guardrails,dod-complete,P1,0,,,,
katas-provenance-preservation,dod-complete,P1,0,,,,
katas-session-resume-fork,dod-complete,P1,0,,,,
katas-tool-description-quality,dod-complete,P1,0,,,,
katas-validation-retry-feedback,dod-complete,P1,0,,,,
kit-orchestrator,pending,,0,,,,
knowledge-management,dod-complete,P1,3,agents/knowledge-management-specialist.md;commands/knowledge-management.md;prompts/enterprise/5-knowledge-management.md,,,
kpi-framework,pending,,3,agents/kpi-framework-specialist.md;commands/kpi-framework.md;prompts/analytics/1-kpi-framework.md,,,
lab-session,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
landing-page-builder,pending,,1,agents/landing-page-builder.md,,,
landing-pages,pending,,2,agents/copywriter.md;agents/landing-page-builder.md,,,
lead-generation,pending,,3,agents/lead-generation-specialist.md;commands/lead-generation.md;prompts/business/13-lead-generation.md,,,
lighthouse-ci,pending,,1,agents/quality-guardian.md,,,
linkedin-optimization,pending,,0,,,,
linting-formatting,pending,,1,agents/linter-configurator.md,,,
llm-evaluation,pending,,3,agents/llm-evaluation-specialist.md;commands/llm-evaluation.md;prompts/ai/3-llm-evaluation.md,,,
local-state-preservation,dod-complete,P1,0,,,,
localization-guide,pending,,3,agents/localization-guide-specialist.md;commands/localization-guide.md;prompts/content/15-localization-guide.md,,,
log-management,pending,,3,agents/log-management-specialist.md;commands/log-management.md;prompts/devops/4-log-management.md,,,
market-intelligence,pending,,1,agents/client-prospector.md,,,
marketing-context,pending,,3,agents/marketing-context-specialist.md;commands/marketing-context.md;prompts/business/1-marketing-context.md,,,
maturity-assessment,pending,,0,,,,
mcp-creator,dod-complete,P1,0,,,,
mcp-engineering,dod-complete,P1,0,,,,
meeting-notes,pending,,1,commands/requirements.md,,,
mermaid-diagramming,pending,,3,agents/architecture-designer.md;agents/diagram-specialist.md;agents/flow-mapper.md,,,
message-batch-orchestration,dod-complete,P1,0,,,,
meta-orchestration-updater,pending,,0,,,,
meta-skill-creator,pending,,0,,,,
meta-skill-deployer,pending,,0,,,,
meta-skill-indexer,pending,,0,,,,
meta-skill-reviewer,pending,,0,,,,
meta-skill-searcher,pending,,0,,,,
metrics-instrumentation,pending,,3,agents/metrics-instrumentation-specialist.md;commands/metrics-instrumentation.md;prompts/analytics/16-metrics-instrumentation.md,,,
micro-interactions,pending,,6,agents/animation-specialist.md;agents/micro-interactions-specialist.md;commands/add-animation.md;commands/micro-interactions.md;prompts/development/63-implement-animation.md;prompts/ux/5-micro-interactions.md,,,
microcopy-writing,pending,,3,agents/microcopy-writing-specialist.md;commands/microcopy-writing.md;prompts/content/14-microcopy-writing.md,,,
migration-planning,pending,,1,agents/migration-planner.md,,,
mobile-architecture,pending,,0,,,,
mobile-assessment,pending,,0,,,,
mobile-patterns,pending,,3,agents/mobile-patterns-specialist.md;commands/mobile-patterns.md;prompts/ux/16-mobile-patterns.md,,,
modal-dialog-patterns,pending,,0,,,,
monitoring-alerting,pending,,0,,,,
monitoring-setup,pending,,3,agents/monitoring-setup-specialist.md;commands/monitoring-setup.md;prompts/devops/2-monitoring-setup.md,,,
monthly-audit,not-in-ledger,,0,,,,
motion-design,pending,,3,agents/motion-design-specialist.md;commands/motion-design.md;prompts/ux/10-motion-design.md,,,
multi-model-routing,pending,,3,agents/multi-model-routing-specialist.md;commands/multi-model-routing.md;prompts/ai/12-multi-model-routing.md,,,
naming-and-slugging,pending,,0,,,,
navigation-patterns,pending,,0,,,,
negociacion-oferta,dod-complete,P1,0,,,,
newsletter-design,pending,,3,agents/newsletter-design-specialist.md;commands/newsletter-design.md;prompts/business/11-newsletter-design.md,,,
node-api-builder,pending,,0,,,,
node-development,pending,,1,agents/node-specialist.md,,,
notebook-curator-seleccion,dod-complete,P1,0,,,,
notification-handler,pending,,3,agents/notification-handler-specialist.md;commands/notification-handler.md;prompts/automation/8-notification-handler.md,,,
notification-service,pending,,0,,,,
notification-ux,pending,,3,agents/notification-ux-specialist.md;commands/notification-ux.md;prompts/ux/13-notification-ux.md,,,
oauth-social-login,pending,,0,,,,
observability,pending,,0,,,,
office-workflow-runner,pending,,0,,,,
official-source-verifier,dod-complete,P1,0,,,,
okr-design,pending,,3,agents/okr-design-specialist.md;commands/okr-design.md;prompts/enterprise/15-okr-design.md,,,
onboarding-90-dias,dod-complete,P1,0,,,,
onboarding-playbook,pending,,0,,,,
onboarding-ux,pending,,3,agents/onboarding-ux-specialist.md;commands/onboarding-ux.md;prompts/business/10-onboarding-ux.md,,,
open-claude-security,pending,,0,,,,
open-claw-builder,pending,,0,,,,
openclaw-isolation,pending,,0,,,,
openclaw-personal-deploy,pending,,0,,,,
openclaw-tool-auth,pending,,0,,,,
output-contract-enforcer,dod-complete,P1,0,,,,
output-engineering,pending,,0,,,,
parallel-workflow,pending,,1,agents/pipeline-conductor.md,,,
partnership-strategy,pending,,3,agents/partnership-strategy-specialist.md;commands/partnership-strategy.md;prompts/business/15-partnership-strategy.md,,,
payment-integration,pending,,2,agents/ecommerce-builder.md;agents/payment-specialist.md,,,
pdf-architecture-reviewer,dod-complete,P1,0,,,,
penetration-testing-guide,pending,,0,,,,
performance-architecture,pending,,1,agents/performance-architect.md,,,
performance-engineering,pending,,0,,,,
performance-testing,pending,,2,agents/performance-tester.md;agents/quality-guardian.md,,,
permission-fast-path,pending,,3,agents/permission-fast-path-specialist.md;commands/permission-fast-path.md;prompts/automation/10-permission-fast-path.md,,,
persistent-memory-design,dod-complete,P1,0,,,,
personal-branding,pending,,0,,,,
pipeline-governance,pending,,1,agents/adk-orchestrator.md,,,
pitch-deck,pending,,0,,,,
plan-architecture,pending,,0,,,,
plan-moat-strategy,pending,,0,,,,
